"filename", "language", "SCSS", "HTML", "TypeScript", "XML", "comment", "blank", "total"
"d:\mfhco\Documents\Uni\Moment\Moment\src\app\tabs\tabs.page.html", "HTML", 0, 20, 0, 0, 0, 6, 26
"d:\mfhco\Documents\Uni\Moment\Moment\src\app\tabs\tabs.page.scss", "SCSS", 0, 0, 0, 0, 0, 1, 1
"d:\mfhco\Documents\Uni\Moment\Moment\src\app\tabs\tabs.page.spec.ts", "TypeScript", 0, 0, 19, 0, 0, 6, 25
"d:\mfhco\Documents\Uni\Moment\Moment\src\app\tabs\tabs.page.ts", "TypeScript", 0, 0, 11, 0, 0, 5, 16
"d:\mfhco\Documents\Uni\Moment\Moment\src\assets\mmnt-io – Firebase console.html", "HTML", 0, 2416, 0, 0, 12, 179, 2607
"d:\mfhco\Documents\Uni\Moment\Moment\src\assets\mmnt-io – Firebase console_files\alternategtm.html", "HTML", 0, 11, 0, 0, 1, 0, 12
"d:\mfhco\Documents\Uni\Moment\Moment\src\assets\mmnt-io – Firebase console_files\firebase_logotype_grey_18dp.svg", "XML", 0, 0, 0, 11, 1, 0, 12
"d:\mfhco\Documents\Uni\Moment\Moment\src\assets\mmnt-io – Firebase console_files\firebase_logotype_white_18dp.svg", "XML", 0, 0, 0, 3, 0, 1, 4
"d:\mfhco\Documents\Uni\Moment\Moment\src\assets\mmnt-io – Firebase console_files\postmessageRelay.html", "HTML", 0, 2, 0, 0, 1, 0, 3
"d:\mfhco\Documents\Uni\Moment\Moment\src\assets\mmnt-io – Firebase console_files\proxy(1).html", "HTML", 0, 13, 0, 0, 1, 2, 16
"d:\mfhco\Documents\Uni\Moment\Moment\src\assets\mmnt-io – Firebase console_files\proxy(2).html", "HTML", 0, 13, 0, 0, 1, 2, 16
"d:\mfhco\Documents\Uni\Moment\Moment\src\assets\mmnt-io – Firebase console_files\proxy(3).html", "HTML", 0, 13, 0, 0, 1, 2, 16
"d:\mfhco\Documents\Uni\Moment\Moment\src\assets\mmnt-io – Firebase console_files\proxy(4).html", "HTML", 0, 13, 0, 0, 1, 2, 16
"d:\mfhco\Documents\Uni\Moment\Moment\src\assets\mmnt-io – Firebase console_files\proxy.html", "HTML", 0, 13, 0, 0, 1, 2, 16
"d:\mfhco\Documents\Uni\Moment\Moment\src\assets\shapes.svg", "XML", 0, 0, 0, 1, 0, 1, 2
"d:\mfhco\Documents\Uni\Moment\Moment\src\environments\environment.prod.ts", "TypeScript", 0, 0, 4, 0, 0, 2, 6
"d:\mfhco\Documents\Uni\Moment\Moment\src\environments\environment.ts", "TypeScript", 0, 0, 4, 0, 11, 3, 18
"d:\mfhco\Documents\Uni\Moment\Moment\src\global.scss", "SCSS", 33, 0, 0, 0, 13, 8, 54
"d:\mfhco\Documents\Uni\Moment\Moment\src\index.html", "HTML", 0, 21, 0, 0, 1, 8, 30
"d:\mfhco\Documents\Uni\Moment\Moment\src\main.ts", "TypeScript", 0, 0, 12, 0, 0, 7, 19
"d:\mfhco\Documents\Uni\Moment\Moment\src\polyfills.ts", "TypeScript", 0, 0, 2, 0, 55, 10, 67
"d:\mfhco\Documents\Uni\Moment\Moment\src\test.ts", "TypeScript", 0, 0, 13, 0, 4, 4, 21
"d:\mfhco\Documents\Uni\Moment\Moment\src\theme\variables.scss", "SCSS", 60, 0, 0, 0, 3, 12, 75
"d:\mfhco\Documents\Uni\Moment\Moment\src\zone-flags.ts", "TypeScript", 0, 0, 1, 0, 4, 1, 6
"Total", "-", 250, 3567, 3196, 15, 801, 982, 8811
